Pct 0 car households,Freq of transit service per hr,0.9120006800860557,0.91200068,,,
% Drive Alone to Work,Freq of transit service per hr,-0.826586841,0.826586841,,,
Average Number of Physically Unhealthy Days,Food Environment Index,-0.746545643,0.746545643,,,
% Drive Alone to Work,Freq of transit service per sq mile,-0.721884266,0.721884266,,,
% Fair or Poor Health,Food Environment Index,-0.709628553,0.709628553,,,
% With Access to Exercise Opportunities,NatWalkInd,0.6487206777776525,0.648720678,,,
% With Access to Exercise Opportunities,Pedestrian-oriented links density,0.6014245590851005,0.601424559,,,
Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,0.5854388064484686,0.585438806,,,
% Adults with Obesity,% Drive Alone to Work,0.5514749042282141,0.551474904,,,
% Drive Alone to Work,NatWalkInd,-0.534125026,0.534125026,,,
Average Number of Mentally Unhealthy Days,Pedestrian-oriented links density,-0.470340169,0.470340169,,,
Average Number of Physically Unhealthy Days,% With Access to Exercise Opportunities,-0.462974948,0.462974948,,,
% Adults with Obesity,% With Access to Exercise Opportunities,-0.456676943,0.456676943,,,
% With Access to Exercise Opportunities,Distance to nearest transit stop (meters),-0.450785569,0.450785569,,,
Average Number of Mentally Unhealthy Days,% With Access to Exercise Opportunities,-0.448857651,0.448857651,,,
Food Environment Index,% With Access to Exercise Opportunities,0.4438607645334067,0.443860765,,,
Average Number of Mentally Unhealthy Days,Food Environment Index,-0.442123457,0.442123457,,,
Average Number of Mentally Unhealthy Days,NatWalkInd,-0.422109072,0.422109072,,,
Average Number of Mentally Unhealthy Days,% Adults with Obesity,0.4181183623250758,0.418118362,,,
Average Number of Physically Unhealthy Days,NatWalkInd,-0.409489464,0.409489464,,,
% With Access to Exercise Opportunities,Auto-oriented links density,0.40724903868702284,0.407249039,,,
Average Number of Mentally Unhealthy Days,Jobs within 45 minutes auto travel time,-0.403971876,0.403971876,,,
Total population,Total employment,0.9988910871246494,0.998891087,,,
Total employment,Total population,0.9988910871246494,0.998891087,,,
Freq of transit service per hr,Freq of transit service per sq mile,0.9474279732098233,0.947427973,,,
Freq of transit service per sq mile,Freq of transit service per hr,0.9474279732098233,0.947427973,,,
% Fair or Poor Health,Average Number of Physically Unhealthy Days,0.9453932942405431,0.945393294,,,
Average Number of Physically Unhealthy Days,% Fair or Poor Health,0.9453932942405431,0.945393294,,,
% Fair or Poor Health,% Physically Inactive,0.9217378033255176,0.921737803,,,
% Physically Inactive,% Fair or Poor Health,0.9217378033255176,0.921737803,,,
Freq of transit service per hr,Pct 0 car households,0.9120006800860557,0.91200068,,,
Average Number of Physically Unhealthy Days,% Adults with Obesity,0.8800150481299868,0.880015048,,,
% Adults with Obesity,Average Number of Physically Unhealthy Days,0.8800150481299868,0.880015048,,,
Pct 0 car households,Freq of transit service per sq mile,0.8636294733988813,0.863629473,,,
Freq of transit service per sq mile,Pct 0 car households,0.8636294733988813,0.863629473,,,
% Fair or Poor Health,% Adults with Obesity,0.8604977579393642,0.860497758,,,
% Adults with Obesity,% Fair or Poor Health,0.8604977579393642,0.860497758,,,
Average Number of Physically Unhealthy Days,% Physically Inactive,0.854802571,0.854802571,,,
% Physically Inactive,Average Number of Physically Unhealthy Days,0.854802571,0.854802571,,,
% Adults with Obesity,% Physically Inactive,0.8352365097504064,0.83523651,,,
% Physically Inactive,% Adults with Obesity,0.8352365097504064,0.83523651,,,
Freq of transit service per hr,% Drive Alone to Work,-0.826586841,0.826586841,,,
NatWalkInd,Pedestrian-oriented links density,0.8229080398580313,0.82290804,,,
Pedestrian-oriented links density,NatWalkInd,0.8229080398580313,0.82290804,,,
Pct 0 car households,Pct 2 plus car households,-0.821804281,0.821804281,,,
Pct 2 plus car households,Pct 0 car households,-0.821804281,0.821804281,,,
Jobs within 45 minutes auto travel time,Total employment,0.8173656802349374,0.81736568,,,
Total employment,Jobs within 45 minutes auto travel time,0.8173656802349374,0.81736568,,,
Jobs within 45 minutes auto travel time,Total population,0.8155736847688849,0.815573685,,,
Total population,Jobs within 45 minutes auto travel time,0.8155736847688849,0.815573685,,,
Freq of transit service per hr,Pct 2 plus car households,-0.808352423,0.808352423,,,
Pct 2 plus car households,Freq of transit service per hr,-0.808352423,0.808352423,,,
Jobs within 45 minutes auto travel time,Freq of transit service per hr,0.8034261156926323,0.803426116,,,
Freq of transit service per hr,Jobs within 45 minutes auto travel time,0.8034261156926323,0.803426116,,,
Food Environment Index,Average Number of Physically Unhealthy Days,-0.746545643,0.746545643,,,
Freq of transit service per sq mile,% Drive Alone to Work,-0.721884266,0.721884266,,,
NatWalkInd,Distance to nearest transit stop (meters),-0.720849271,0.720849271,,,
Distance to nearest transit stop (meters),NatWalkInd,-0.720849271,0.720849271,,,
Food Environment Index,% Fair or Poor Health,-0.709628553,0.709628553,,,
Pct 2 plus car households,Freq of transit service per sq mile,-0.709354691,0.709354691,,,
Freq of transit service per sq mile,Pct 2 plus car households,-0.709354691,0.709354691,,,
% Drive Alone to Work,Jobs within 45 minutes auto travel time,-0.700701257,0.700701257,,,
Jobs within 45 minutes auto travel time,% Drive Alone to Work,-0.700701257,0.700701257,,,
Jobs within 45 minutes auto travel time,Pct 0 car households,0.6986166239090305,0.698616624,,,
Pct 0 car households,Jobs within 45 minutes auto travel time,0.6986166239090305,0.698616624,,,
% Drive Alone to Work,Pct 0 car households,-0.677775677,0.677775677,,,
Pct 0 car households,% Drive Alone to Work,-0.677775677,0.677775677,,,
Jobs within 45 minutes auto travel time,Freq of transit service per sq mile,0.6687432675930792,0.668743268,,,
Freq of transit service per sq mile,Jobs within 45 minutes auto travel time,0.6687432675930792,0.668743268,,,
% Adults with Obesity,Food Environment Index,-0.668035323,0.668035323,,,
Food Environment Index,% Adults with Obesity,-0.668035323,0.668035323,,,
NatWalkInd,% With Access to Exercise Opportunities,0.6487206777776525,0.648720678,,,
Pct 1 car households,Pct 2 plus car households,-0.636189657,0.636189657,,,
Pct 2 plus car households,Pct 1 car households,-0.636189657,0.636189657,,,
Food Environment Index,% Physically Inactive,-0.632898575,0.632898575,,,
